"Date","Price","Open","High","Low","Vol.","Change %"
"12/15/2023","721,416","739,602","740,870","717,228","","-2.45%"
"12/14/2023","739,505","740,249","749,899","721,162","","-0.11%"
"12/13/2023","740,344","718,205","748,677","703,636","","3.18%"
"12/12/2023","717,512","717,353","730,199","705,768","","0.02%"
"12/11/2023","717,392","759,829","760,125","701,891","","-5.55%"
"12/10/2023","759,575","758,302","764,068","755,801","","0.20%"
"12/09/2023","758,093","766,236","769,468","756,560","","-1.03%"
"12/08/2023","765,992","756,397","775,167","750,947","","1.27%"
"12/07/2023","756,377","756,759","764,141","742,877","","0.01%"
"12/06/2023","756,330","765,618","767,440","753,947","","-1.21%"
"12/05/2023","765,556","733,486","772,277","726,403","","4.36%"
"12/04/2023","733,557","687,238","740,223","687,238","","6.75%"
"12/03/2023","687,151","676,756","690,980","675,106","","1.24%"
"12/02/2023","678,743","664,845","681,714","664,143","","2.09%"
"12/01/2023","664,845","655,815","670,393","653,703","","1.39%"
"11/30/2023","655,700","654,708","660,715","651,733","","0.15%"
"11/29/2023","654,748","647,934","657,488","645,742","","1.04%"
"11/28/2023","647,992","639,599","657,844","632,844","","1.29%"
"11/27/2023","639,762","641,033","642,900","627,498","","-0.27%"
"11/26/2023","641,480","646,479","647,060","636,030","","-0.77%"
"11/25/2023","646,479","645,254","648,191","643,268","","0.19%"
"11/24/2023","645,254","641,032","656,974","640,383","","0.67%"
"11/23/2023","640,986","643,562","647,184","633,961","","-0.40%"
"11/22/2023","643,550","613,915","650,921","613,915","","4.49%"
"11/21/2023","615,882","640,802","646,889","615,882","","-3.91%"
"11/20/2023","640,968","643,866","646,736","631,230","","-0.43%"
"11/19/2023","643,735","629,741","646,283","626,745","","2.22%"
"11/18/2023","629,725","630,601","634,559","623,748","","-0.03%"
"11/17/2023","629,935","623,374","631,808","618,650","","1.08%"
"11/16/2023","623,194","654,416","655,408","612,693","","-4.84%"
"11/15/2023","654,899","616,744","656,494","613,721","","6.23%"
"11/14/2023","616,474","642,485","647,092","607,876","","-4.06%"
"11/13/2023","642,568","654,691","660,437","640,987","","-1.78%"
"11/12/2023","654,242","655,211","656,572","648,402","","-0.15%"
"11/11/2023","655,211","657,913","659,582","648,502","","-0.44%"
"11/10/2023","658,137","652,899","665,760","645,926","","0.80%"
"11/09/2023","652,940","624,859","663,549","623,897","","4.40%"
"11/08/2023","625,411","619,012","632,366","614,837","","0.98%"
"11/07/2023","619,311","615,026","627,451","604,846","","0.75%"
"11/06/2023","614,698","611,740","618,338","606,034","","0.44%"
"11/05/2023","611,978","612,436","616,999","603,434","","-0.06%"
"11/04/2023","612,337","606,449","615,388","604,363","","0.99%"
"11/03/2023","606,312","612,860","612,860","594,956","","-1.05%"
"11/02/2023","612,776","629,224","637,021","603,620","","-2.62%"
"11/01/2023","629,232","625,823","631,330","611,279","","0.52%"
"10/31/2023","625,994","622,719","626,612","614,415","","0.51%"
"10/30/2023","622,826","625,271","628,842","616,586","","-0.39%"
"10/29/2023","625,256","617,502","629,375","614,856","","1.26%"
"10/28/2023","617,502","614,194","623,065","613,546","","0.53%"
"10/27/2023","614,220","619,885","622,120","605,268","","-0.90%"
"10/26/2023","619,800","632,532","639,391","613,739","","-2.02%"
"10/25/2023","632,608","619,255","642,908","617,125","","2.20%"
"10/24/2023","619,019","600,576","638,868","596,494","","3.13%"
"10/23/2023","600,237","546,457","622,482","544,891","","9.90%"
"10/22/2023","546,172","545,480","550,527","541,774","","0.14%"
"10/21/2023","545,435","541,089","551,797","537,364","","0.80%"
"10/20/2023","541,089","526,146","553,888","523,949","","2.87%"
"10/19/2023","525,974","516,814","528,471","514,458","","1.77%"
"10/18/2023","516,844","511,608","519,800","508,685","","1.00%"
"10/17/2023","511,737","510,544","514,500","503,127","","0.24%"
"10/16/2023","510,524","490,070","537,677","488,924","","4.16%"
"10/15/2023","490,127","485,912","492,667","485,191","","0.86%"
"10/14/2023","485,931","486,084","488,129","485,049","","-0.03%"
"10/13/2023","486,084","481,011","490,668","479,612","","1.07%"
"10/12/2023","480,935","479,593","481,810","474,693","","0.27%"
"10/11/2023","479,634","491,270","492,712","474,569","","-2.37%"
"10/10/2023","491,273","502,212","506,780","490,071","","-2.18%"
"10/09/2023","502,227","509,298","512,302","500,178","","-1.41%"
"10/08/2023","509,433","508,199","511,438","503,754","","0.25%"
"10/07/2023","508,139","507,734","509,316","506,344","","0.03%"
"10/06/2023","507,987","501,188","513,287","500,047","","1.37%"
"10/05/2023","501,121","499,820","510,187","495,833","","0.23%"
"10/04/2023","499,991","494,050","501,391","490,897","","1.14%"
"10/03/2023","494,347","486,072","495,675","484,532","","1.67%"
"10/02/2023","486,211","486,927","500,023","482,627","","-0.21%"
"10/01/2023","487,257","469,629","488,561","469,481","","3.75%"
"09/30/2023","469,667","468,660","471,717","468,300","","0.21%"
"09/29/2023","468,706","474,078","475,508","464,990","","-1.11%"
"09/28/2023","473,946","466,511","480,427","465,867","","1.60%"
"09/27/2023","466,482","460,108","472,780","458,555","","1.38%"
"09/26/2023","460,130","457,745","462,182","455,056","","0.53%"
"09/25/2023","457,725","450,732","459,980","447,617","","1.43%"
"09/24/2023","451,252","457,443","460,008","449,746","","-1.35%"
"09/23/2023","457,443","457,524","458,421","456,394","","-0.02%"
"09/22/2023","457,541","457,678","459,736","454,918","","-0.03%"
"09/21/2023","457,667","463,725","465,040","454,050","","-1.30%"
"09/20/2023","463,696","464,372","467,554","457,904","","-0.13%"
"09/19/2023","464,313","458,422","468,921","456,854","","1.33%"
"09/18/2023","458,207","452,629","469,795","450,387","","1.23%"
"09/17/2023","452,627","453,585","454,499","450,693","","-0.21%"
"09/16/2023","453,585","454,273","457,127","451,931","","-0.15%"
"09/15/2023","454,273","453,751","458,307","447,809","","0.08%"
"09/14/2023","453,888","449,799","458,314","447,738","","0.96%"
"09/13/2023","449,585","445,227","452,745","443,802","","1.00%"
"09/12/2023","445,137","434,988","457,954","434,418","","2.32%"
"09/11/2023","435,051","453,622","454,512","431,260","","-4.10%"
"09/10/2023","453,647","455,829","456,823","450,899","","-0.48%"
"09/09/2023","455,829","455,985","456,112","454,340","","-0.03%"
"09/08/2023","455,985","461,958","464,273","449,362","","-1.25%"
"09/07/2023","461,777","453,290","464,869","447,533","","1.89%"
"09/06/2023","453,233","448,769","456,860","446,817","","1.01%"
"09/05/2023","448,697","443,656","449,743","440,477","","1.13%"
"09/04/2023","443,670","443,413","445,888","440,881","","0.05%"
"09/03/2023","443,467","442,225","446,029","441,339","","0.30%"
"09/02/2023","442,148","441,123","444,031","440,274","","0.24%"
"09/01/2023","441,080","440,945","447,446","433,516","","0.03%"
"08/31/2023","440,968","457,518","461,692","438,148","","-3.58%"
"08/30/2023","457,337","465,763","466,129","453,370","","-1.83%"
"08/29/2023","465,868","438,509","472,125","434,841","","6.21%"
"08/28/2023","438,610","436,745","439,157","432,987","","0.42%"
"08/27/2023","436,757","435,761","438,435","434,943","","0.23%"
"08/26/2023","435,767","436,466","437,471","435,410","","-0.16%"
"08/25/2023","436,466","440,711","440,771","433,531","","-0.95%"
"08/24/2023","440,666","443,952","446,806","436,196","","-0.73%"
"08/23/2023","443,894","440,754","450,164","435,259","","0.79%"
"08/22/2023","440,429","444,942","445,033","430,847","","-1.00%"
"08/21/2023","444,860","446,347","446,409","440,663","","-0.33%"
"08/20/2023","446,318","445,125","447,990","443,385","","0.27%"
"08/19/2023","445,125","444,340","447,956","440,027","","0.19%"
"08/18/2023","444,272","455,405","458,365","437,505","","-2.59%"
"08/17/2023","456,069","492,508","493,727","433,091","","-7.42%"
"08/16/2023","492,600","500,219","501,530","492,480","","-1.53%"
"08/15/2023","500,241","502,087","505,528","498,019","","-0.36%"
"08/14/2023","502,072","498,064","506,849","495,698","","0.81%"
"08/13/2023","498,058","500,579","501,300","497,901","","-0.50%"
"08/12/2023","500,579","500,508","501,449","499,753","","0.01%"
"08/11/2023","500,508","503,113","504,079","496,987","","-0.53%"
"08/10/2023","503,187","504,703","506,085","498,433","","-0.29%"
"08/09/2023","504,648","509,635","515,875","501,461","","-1.02%"
"08/08/2023","509,826","498,771","516,417","498,287","","2.18%"
"08/07/2023","498,953","496,946","499,527","490,751","","0.40%"
"08/06/2023","496,946","496,507","499,985","495,136","","0.08%"
"08/05/2023","496,526","497,222","497,813","495,104","","-0.14%"
"08/04/2023","497,222","506,126","508,175","493,474","","-1.76%"
"08/03/2023","506,136","496,607","510,999","494,770","","1.95%"
"08/02/2023","496,446","501,543","506,157","493,382","","-0.93%"
"08/01/2023","501,117","489,762","501,373","482,264","","2.32%"
"07/31/2023","489,738","488,545","493,062","487,695","","0.25%"
"07/30/2023","488,494","489,967","491,512","484,944","","-0.30%"
"07/29/2023","489,985","489,320","490,705","488,353","","0.14%"
"07/28/2023","489,320","492,750","495,470","487,367","","-0.70%"
"07/27/2023","492,761","495,012","496,677","489,081","","-0.45%"
"07/26/2023","495,012","495,197","499,922","492,105","","-0.06%"
"07/25/2023","495,294","491,376","496,795","489,337","","0.80%"
"07/24/2023","491,383","511,123","511,362","486,555","","-3.89%"
"07/23/2023","511,253","506,019","515,403","505,090","","1.05%"
"07/22/2023","505,939","507,939","509,404","503,748","","-0.39%"
"07/21/2023","507,910","503,065","509,515","502,278","","0.97%"
"07/20/2023","503,029","499,877","510,784","498,837","","0.64%"
"07/19/2023","499,849","500,272","505,890","498,702","","-0.07%"
"07/18/2023","500,201","504,168","505,730","497,031","","-0.79%"
"07/17/2023","504,175","506,350","511,187","497,526","","-0.44%"
"07/16/2023","506,380","507,471","509,858","503,801","","-0.20%"
"07/15/2023","507,389","507,864","509,169","506,657","","-0.09%"
"07/14/2023","507,851","530,196","532,000","501,272","","-4.26%"
"07/13/2023","530,456","513,531","534,610","510,995","","3.29%"
"07/12/2023","513,576","522,054","525,849","510,400","","-1.60%"
"07/11/2023","521,909","518,709","525,753","517,739","","0.61%"
"07/10/2023","518,727","517,341","528,923","513,205","","0.27%"
"07/09/2023","517,306","519,284","521,444","514,946","","-0.39%"
"07/08/2023","519,349","520,290","520,801","515,272","","-0.18%"
"07/07/2023","520,290","515,538","523,981","512,801","","0.90%"
"07/06/2023","515,652","518,747","536,648","514,903","","-0.64%"
"07/05/2023","518,956","524,571","526,691","513,836","","-1.07%"
"07/04/2023","524,584","531,386","533,918","522,736","","-1.31%"
"07/03/2023","531,563","524,283","535,460","522,379","","1.39%"
"07/02/2023","524,275","523,698","527,120","517,525","","0.11%"
"07/01/2023","523,698","521,782","524,760","519,316","","0.38%"
"06/30/2023","521,705","521,314","535,351","507,173","","0.09%"
"06/29/2023","521,218","514,307","528,278","513,999","","1.35%"
"06/28/2023","514,279","524,475","524,585","511,078","","-1.93%"
"06/27/2023","524,403","518,513","529,042","517,284","","1.14%"
"06/26/2023","518,513","522,739","525,640","513,894","","-0.82%"
"06/25/2023","522,803","524,322","532,943","520,634","","-0.29%"
"06/24/2023","524,346","526,765","528,787","519,792","","-0.45%"
"06/23/2023","526,692","513,721","539,431","513,386","","2.44%"
"06/22/2023","514,130","513,863","522,557","507,975","","0.03%"
"06/21/2023","513,963","487,048","527,735","486,444","","5.50%"
"06/20/2023","487,170","458,612","488,546","457,347","","6.28%"
"06/19/2023","458,365","449,931","461,244","449,562","","1.87%"
"06/18/2023","449,943","452,756","455,553","449,016","","-0.62%"
"06/17/2023","452,756","449,820","457,384","447,101","","0.66%"
"06/16/2023","449,778","438,476","451,667","432,550","","2.58%"
"06/15/2023","438,457","430,444","440,633","426,154","","1.79%"
"06/14/2023","430,767","447,070","448,854","425,120","","-3.58%"
"06/13/2023","446,777","447,828","456,231","442,989","","-0.22%"
"06/12/2023","447,762","448,114","450,956","444,087","","-0.09%"
"06/11/2023","448,157","446,512","452,456","443,373","","0.36%"
"06/10/2023","446,557","457,526","458,329","440,099","","-2.40%"
"06/09/2023","457,525","460,686","463,412","455,777","","-0.70%"
"06/08/2023","460,733","457,218","466,230","455,303","","0.75%"
"06/07/2023","457,308","473,222","474,872","453,789","","-3.37%"
"06/06/2023","473,258","449,361","474,899","443,663","","5.22%"
"06/05/2023","449,763","476,403","476,533","444,213","","-5.58%"
"06/04/2023","476,362","475,330","481,240","473,318","","0.20%"
"06/03/2023","475,431","478,374","479,666","473,149","","-0.60%"
"06/02/2023","478,301","470,752","479,338","465,950","","1.63%"
"06/01/2023","470,643","481,298","483,460","468,879","","-2.25%"
"05/31/2023","481,460","489,409","491,660","474,192","","-1.62%"
"05/30/2023","489,407","488,155","492,320","485,862","","0.24%"
"05/29/2023","488,215","494,798","500,772","483,728","","-1.32%"
"05/28/2023","494,738","473,304","496,446","472,118","","4.53%"
"05/27/2023","473,308","470,781","473,795","468,761","","0.54%"
"05/26/2023","470,782","472,823","475,649","467,653","","-0.44%"
"05/25/2023","472,839","468,795","474,525","462,133","","0.86%"
"05/24/2023","468,831","489,118","489,230","465,382","","-4.16%"
"05/23/2023","489,181","480,508","491,785","479,513","","1.83%"
"05/22/2023","480,411","475,009","484,634","471,919","","1.11%"
"05/21/2023","475,140","482,193","484,743","473,559","","-1.48%"
"05/20/2023","482,257","478,030","482,708","477,121","","0.88%"
"05/19/2023","478,030","475,215","480,436","473,095","","0.57%"
"05/18/2023","475,317","482,528","486,636","469,577","","-1.48%"
"05/17/2023","482,453","472,966","483,544","466,609","","2.01%"
"05/16/2023","472,968","473,941","476,297","469,293","","-0.30%"
"05/15/2023","474,401","473,719","484,565","470,613","","0.15%"
"05/14/2023","473,688","471,191","478,214","468,998","","0.55%"
"05/13/2023","471,095","471,555","475,287","469,726","","-0.07%"
"05/12/2023","471,414","474,421","475,434","454,970","","-0.68%"
"05/11/2023","474,625","484,417","485,685","470,921","","-2.01%"
"05/10/2023","484,379","490,732","499,292","472,551","","-1.30%"
"05/09/2023","490,759","492,029","495,051","485,791","","-0.27%"
"05/08/2023","492,097","504,987","508,663","486,073","","-2.54%"
"05/07/2023","504,899","512,240","516,931","504,854","","-1.44%"
"05/06/2023","512,252","523,918","529,333","504,517","","-2.22%"
"05/05/2023","523,894","516,260","527,590","516,009","","1.50%"
"05/04/2023","516,135","521,647","526,100","513,161","","-0.96%"
"05/03/2023","521,116","515,371","527,341","504,660","","1.11%"
"05/02/2023","515,417","503,681","519,258","500,464","","2.31%"
"05/01/2023","503,757","526,655","528,214","496,728","","-4.33%"
"04/30/2023","526,561","525,929","538,697","523,420","","0.12%"
"04/29/2023","525,929","527,391","529,281","522,761","","-0.32%"
"04/28/2023","527,607","531,686","534,394","520,556","","-0.78%"
"04/27/2023","531,741","516,203","538,760","515,791","","3.04%"
"04/26/2023","516,071","511,030","543,177","495,556","","1.00%"
"04/25/2023","510,978","494,642","512,997","489,521","","3.25%"
"04/24/2023","494,904","496,631","503,712","486,505","","-0.34%"
"04/23/2023","496,617","500,493","500,524","492,833","","-0.77%"
"04/22/2023","500,493","490,595","501,521","488,946","","1.97%"
"04/21/2023","490,819","508,346","510,201","489,216","","-3.40%"
"04/20/2023","508,102","520,142","525,262","505,175","","-2.27%"
"04/19/2023","519,910","548,228","548,712","516,960","","-5.16%"
"04/18/2023","548,201","530,789","549,213","525,814","","3.27%"
"04/17/2023","530,855","545,398","545,433","529,485","","-2.66%"
"04/16/2023","545,365","545,766","550,218","542,792","","-0.08%"
"04/15/2023","545,810","548,877","550,897","544,382","","-0.55%"
"04/14/2023","548,832","547,366","560,144","542,404","","0.31%"
"04/13/2023","547,158","540,031","550,528","539,504","","1.30%"
"04/12/2023","540,118","548,964","551,360","536,573","","-1.61%"
"04/11/2023","548,966","538,143","553,705","537,464","","2.01%"
"04/10/2023","538,175","514,066","540,243","510,854","","4.69%"
"04/09/2023","514,078","506,355","517,181","503,939","","1.53%"
"04/08/2023","506,355","505,774","510,177","504,934","","0.11%"
"04/07/2023","505,784","511,405","512,672","504,619","","-1.09%"
"04/06/2023","511,375","515,868","516,730","508,455","","-0.89%"
"04/05/2023","515,946","510,518","522,060","509,318","","1.08%"
"04/04/2023","510,430","503,100","513,031","500,484","","1.52%"
"04/03/2023","502,765","508,408","511,872","492,529","","-1.20%"
"04/02/2023","508,848","512,714","513,989","502,813","","-0.75%"
"04/01/2023","512,676","513,081","518,866","509,641","","-0.07%"
"03/31/2023","513,054","507,162","516,293","499,481","","1.15%"
"03/30/2023","507,198","513,009","528,466","501,481","","-1.14%"
"03/29/2023","513,022","496,772","519,193","496,671","","3.29%"
"03/28/2023","496,698","497,300","500,496","488,848","","-0.13%"
"03/27/2023","497,327","515,462","516,904","489,787","","-3.52%"
"03/26/2023","515,482","506,261","518,748","505,467","","1.83%"
"03/25/2023","506,212","505,952","511,528","500,676","","0.02%"
"03/24/2023","506,107","525,852","527,527","498,752","","-3.77%"
"03/23/2023","525,915","506,906","531,684","504,100","","3.71%"
"03/22/2023","507,120","523,106","533,125","494,476","","-3.11%"
"03/21/2023","523,389","521,776","531,070","513,372","","0.33%"
"03/20/2023","521,668","527,017","545,027","514,314","","-0.99%"
"03/19/2023","526,866","508,948","536,105","507,675","","3.55%"
"03/18/2023","508,779","518,029","522,999","506,058","","-1.81%"
"03/17/2023","518,152","469,431","524,298","467,504","","10.39%"
"03/16/2023","469,404","461,473","477,214","457,725","","1.73%"
"03/15/2023","461,438","459,662","475,240","452,850","","0.41%"
"03/14/2023","459,569","456,971","493,087","447,323","","0.73%"
"03/13/2023","456,229","402,950","461,678","401,304","","13.16%"
"03/12/2023","403,157","378,264","403,248","375,128","","6.56%"
"03/11/2023","378,341","372,635","381,906","365,903","","1.49%"
"03/10/2023","372,783","373,494","374,083","358,942","","-0.22%"
"03/09/2023","373,587","390,036","392,688","368,019","","-4.28%"
"03/08/2023","390,272","402,058","403,415","389,471","","-2.95%"
"03/07/2023","402,120","403,475","406,430","397,659","","-0.34%"
"03/06/2023","403,499","403,153","407,116","400,997","","0.04%"
"03/05/2023","403,335","401,328","406,234","398,892","","0.52%"
"03/04/2023","401,260","401,465","402,337","398,085","","-0.03%"
"03/03/2023","401,385","425,216","425,294","397,881","","-5.60%"
"03/02/2023","425,193","428,091","430,589","421,203","","-0.74%"
"03/01/2023","428,354","423,575","436,211","421,961","","1.18%"
"02/28/2023","423,354","431,887","432,524","421,527","","-1.98%"
"02/27/2023","431,887","433,397","439,155","425,890","","-0.32%"
"02/26/2023","433,285","426,070","435,374","424,234","","1.66%"
"02/25/2023","426,212","426,531","426,860","418,890","","-0.09%"
"02/24/2023","426,587","439,739","442,982","422,663","","-2.96%"
"02/23/2023","439,592","444,316","451,301","432,758","","-1.06%"
"02/22/2023","444,305","450,856","451,296","433,000","","-1.44%"
"02/21/2023","450,792","456,744","465,149","446,138","","-1.29%"
"02/20/2023","456,683","445,832","462,170","438,676","","2.41%"
"02/19/2023","445,918","452,384","461,477","445,918","","-1.44%"
"02/18/2023","452,427","451,323","455,935","449,190","","0.29%"
"02/17/2023","451,123","436,432","458,666","433,666","","3.00%"
"02/16/2023","437,994","452,200","468,329","436,304","","-3.14%"
"02/15/2023","452,199","410,810","452,199","408,648","","10.06%"
"02/14/2023","410,862","404,341","413,628","401,653","","1.63%"
"02/13/2023","404,268","406,953","408,676","398,732","","-0.68%"
"02/12/2023","407,029","407,978","412,099","404,310","","-0.21%"
"02/11/2023","407,903","403,612","408,641","403,222","","1.04%"
"02/10/2023","403,709","409,450","412,051","401,142","","-1.35%"
"02/09/2023","409,221","434,891","435,633","408,600","","-5.85%"
"02/08/2023","434,650","439,188","442,280","430,312","","-1.02%"
"02/07/2023","439,121","436,406","441,408","432,104","","0.67%"
"02/06/2023","436,214","435,548","444,184","430,895","","0.16%"
"02/05/2023","435,508","442,446","444,285","431,821","","-1.57%"
"02/04/2023","442,470","444,434","447,106","441,360","","-0.46%"
